Donor,codename
Save the Children Alliance,NGOs
Save the Children Federaton Inc.,NGOs
"Save the Children, Youths and Women Organization",NGOs
Save Youth Future Society,NGOs
Sawa Organization,NGOs
Sawaid Health Organization,NGOs
SC - Caritas,NGOs
Scandinavian Children's Mission ,NGOs
Scottish Catholic InterNational Aid Fund,NGOs
Search for Common Ground,NGOs
Secours Catholique et Développement,NGOs
Secretariado Diocesano de Pastoral Social,NGOs
Sécurité civile,NGOs
Seeds of Peace,NGOs
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs
Seestern e.V.,NGOs
Self Employment Womens' Association,NGOs
Serve Pastoralist International,NGOs
Service Social InterNational  ,NGOs
Sewalanka,NGOs
Sezam,NGOs
SFCG/RDC,NGOs
Shah Sachal Sami Foundation,NGOs
Shahrukhi Rehabilitation Project,NGOs
SHAML - Palestinian Diaspora and Refugee Center ,NGOs
Shanti Volunteer Association,NGOs
Sharek Youth Forum ,NGOs
SHASSMEPPE,NGOs
Shelter for Life,NGOs
Shelter Now InterNational ,NGOs
Shilale Rehabilitation and Ecological Concern,NGOs
Shining Future Humanitarian Organization,NGOs
Shining Light Community Development Organization,NGOs
Sibro Organization for Development,NGOs
Sign of Hope,NGOs
SIM Canada,NGOs
Skeiv Solidaritet,NGOs
Skills Active Forward,NGOs
Social Humanitarian Economical Intervention for Local Development,NGOs
Social Impact,NGOs
Social Life and Agricultural Development Organisation,NGOs
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs
"Société Axis, Centre orthopédique d'Assomption",NGOs
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs
Société Kolping,NGOs
Society for Community Development,NGOs
Society for Human and Environmental Development,NGOs
Society for Human and Institutional Development,NGOs
Society for Humanitarian Solidarity,NGOs
"Society for the Advancement, Community, health, Education and Training",NGOs
SODI - Solidaritätsdienst-InterNational ,NGOs
Soles4Souls,NGOs
Solidar,NGOs
SOLIDAR INGO CONSORTIUM ,NGOs
Solidaridad InterNational,NGOs
Solidarität mit Lateinamerika,NGOs
Solidarité Féminine pour la Paix et le Développement Intégral,NGOs
Solidarite Protestante,NGOs
Solidarité Socialiste,NGOs
Solidarité Syndicale - Luxembourg,NGOs
"Solidarité, Urgence, Developpement",NGOs
Solidarités,NGOs
Solidarites-Belgium,NGOs
Solidarites-France,NGOs
Solidarity Group of Jubbaland,NGOs
Solidarmed,NGOs
Solo Enviro Beautification,NGOs
Somaction,NGOs
Somali Aid Foundations,NGOs
Somali Community Concern,NGOs
Somali Community Development Foundation,NGOs
Somali Community Literacy Center,NGOs
Somali Development & Rehabilitation Organisation,NGOs
Somali Development and Rehabilitation Organisation,NGOs
Somali Education and Health Organisation,NGOs
Somali Humanitarian Aid and Development Organization,NGOs
Somali Relief and Development Action,NGOs
Somali Relief and Development Society,NGOs
Somali Transformation Group,NGOs
Somali Youth for Peace and Development,NGOs
Somalia Resilience Program,NGOs
SomaliAid,NGOs
Somaliland community development Organization,NGOs
Soroti Catholic Diocese Integrated Development Organisation,NGOs
SOS Children's Villages,NGOs
SOS Faim,NGOs
SOS Futures Maman,NGOs
SOS Kinderdorpen,NGOs
SOS Malta,NGOs
SOS Sahel InterNational,NGOs
"SOS Villages d""enfants",NGOs
SOS Villages d'Enfants,NGOs
SOS-barnbyar Sweden,NGOs
Soul for Development,NGOs
Soul of Haiti,NGOs
South Sudan Development Agency,NGOs
Southern Alliance for Indigenous Resources,NGOs
SPDS,NGOs
Special Court,NGOs
Sports and Cooperation Network,NGOs
St. Josephs Care and Support Trust at Sizanani Village,NGOs
Standard Alliance,NGOs
STC-NOR,NGOs
Stichting CARE Nederland,NGOs
Stitching War Child,NGOs
Street Children Aid,NGOs
Sudan Aid,NGOs
Sudan Integrated Mine Action Service,NGOs
Sudan Medical Care,NGOs
Sudan Open Learning Organisation,NGOs
Sudan Peace and Education Development Programme,NGOs
Sudan Social Development Organization ,NGOs
Sudanese Development Call Organization,NGOs
Sudanese Organization for Rehabilitation and Construction,NGOs
Sudanese Women's General Union,NGOs
Support Agency for Rural and Human Association’s Development,NGOs
Support to Life,NGOs
SurfAid,NGOs
Survivor Corps,NGOs
Sustainable Development and Peace Building Initiatives,NGOs
Svenska Missionsradet,NGOs
Swedish Alliance Mission ,NGOs
Swedish Christian Council,NGOs
Swedish Committee for Afghanistan,NGOs
Swedish Covenant Mission,NGOs
Swedish Groups of Africa,NGOs
Swedish Lutheran Aid,NGOs
Swedish Refugee Aid,NGOs
Swiss Campaign to Ban Landmines,NGOs
Swiss Centre for InterNational Health,NGOs
Swiss Rotary Club,NGOs
SWISSAID,NGOs
SWISSO - Kalmo,NGOs
Syria Sanad,NGOs
Tadamun Social Society,NGOs
Tahaddi & Apprentis d'Auteuils,NGOs
Taiwan Grassroots Women Workers' Centre,NGOs
Tajdid Iraq Association for Developing Economy,NGOs
Tajik Aid,NGOs
Tamil Rehabilitation Organisation,NGOs
Tammuz Organizataion for Social Development,NGOs
Tanad Relief and Development Organisation,NGOs
Tawsol Al Amal Charity Organization,NGOs
Temele Development Organisation,NGOs
Terra Nuova,NGOs
Terre Des Hommes,NGOs
Terre des Hommes - Germany,NGOs
Terre des Hommes - Italy,NGOs
Terre des Hommes - Lausanne,NGOs
Thailand Burma Border Consortium,NGOs
The Bridge Fund,NGOs
The Foundation for the Refugee Education Trust,NGOs
The National Institution of Social Care and Vocational Training,NGOs
The Palestine Solidarity Association in Sweden,NGOs
The Sisters of Charity,NGOs
The Swedish Fellowship of Reconciliation,NGOs
The Swedish Organisation for Individual Relief,NGOs
The Tibet Fund,NGOs
The United Iraqi Medical Society for Relief and Development,NGOs
Thirst No More,NGOs
Tibet House Trust,NGOs
Tides Center,NGOs
TIRUS - Maluku network of NGOs,NGOs
TrainAid InterNational,NGOs
Transcultural Psychosocial Organisation,NGOs
Transparencia Venezuela,NGOs
Transparency InterNational,NGOs
Treatment and Rehabilitation Centre ,NGOs
Triangle,NGOs
Triyog Trust NZ,NGOS
Trosgnistans Mission,NGOs
Turath Organization for Human Development,NGOs
Turkish Kidney Foundation,NGOs
Un Enfant Par La Main,NGOs
Un Ponte Per ,NGOs
Union des Organisations Syrienne de Secours Médicaux,NGOs
Union of Agricultural Work Committees,NGOs
United Church of Canada,NGOs
United Methodist Committee on Relief,NGOs
United Way InterNational,NGOs
United Way of Massachusetts Bay and Merrimack Valley ,NGOs
Unity and Cooperation for the Development of People,NGOs
Unity and Cooperation for the Development of Peoples,NGOs
Upper Nile Initiative and Development Organization,NGOs
Upper Nile Kalaazar Eradication Association,NGOs
Urgence Rehabilitation et Developpement,NGOs
Urgence Solidarité Syrie,NGOs
USA Fund for UNICEF,NGOs
VAF - Verein für Afghanistan Förderung ,NGOs
Valid Nutrition,NGOs
Vamos Adelante,NGOs
VENRO,NGOs
Vento di Terra,NGOs
Verdens Barn,NGOs
Verein Hilfe fur Bangladesch,NGOs
Verein Lichtblick ,NGOs
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,NGOs
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs
VETAID,NGOs
Vet-Care Organization,NGOs
Vétérinaire sans Frontieres,NGOs
Vétérinaires sans Frontières (Belgium),NGOs
Vétérinaires sans Frontières (Germany),NGOs
Vétérinaires sans Frontières (Switzerland),NGOs
Victims of Torture,NGOs
Vie Sacree,NGOs
VISION,NGOs
Vision Hope International,NGOs
Visions in Action,NGOs
Viva Rio,NGOs
Vivamos Mejor,NGOs
Vive Zene,NGOs
VOICE ASBL,NGOs
Voice of America,NGOs
Volens,NGOs
Volontariato Internazionale per lo Sviluppo,NGOs
Voluntariado Internacional para o Desenvolvimento Africano,NGOs
Voluntary Service Overseas,NGOs
Volunteer Organization for the InterNational Co-operation,NGOs
VREDESEILANDEN,NGOs
Wabi Shelbelle Development,NGOs
Wadi,NGOs
Wajir South Development Association,NGOs
Wajir South Development Association ,NGOs
War Child ,NGOs
War Child Canada,NGOs
War Child UK,NGOs
Wardi Relief and Development Initiatives,NGOs
Water for Life,NGOs
WA-UK,NGOs
Werkgroep Nederland Srebrenica,NGOs
Wethaq Foundation for Civil Orientation,NGOs
Windle Trust,NGOs
Windle Trust International,NGOs
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan ,NGOs
Woman Kind Kenya,NGOs
Women and Children Child Care Organization,NGOs
Women Empowerment Organization,NGOs
Women for Women InterNational,NGOs
Women Now for Development,NGOs
Women Welfare Organization Poonch,NGOs
Women's Education Partnership,NGOs
Women's Promotion and Human Development,NGOs
Women's Refugee Commission,NGOs
World Association of Children's Friends,NGOs
World Care,NGOs
World Concern,NGOs
World Concern Development Organisation,NGOs
World Education,NGOs
World Hope InterNational,NGOs
World Jewish Aid,NGOs
World Organisation Against Torture,NGOs
World Relief Corporation,NGOs
World Society for the Protection of Animals,NGOs
World University Service - Canada,NGOs
World Vision  Netherlands,NGOs
World Vision Angola,NGOs
World Vision El Salvador,NGOs
World Vision Germany,NGOs
World Vision Ireland,NGOs
World Vision Kenya,NGOs
World Vision Pakistan,NGOs
World Vision Philippines,NGOs
World Vision Relief and Development  Inc.,NGOs
World Vision South Sudan,NGOs
World Vision Uganda,NGOs
World Vision Vanuatu,NGOs
World Vision Viet Nam,NGOs
World Vision Zimbabwe,NGOs
WRC - World Relief Corporation ,NGOs
WSP InterNational,NGOs
YAKKUM Emergency Unit,NGOs
Yayasan HOPE Indonesia,NGOs
Yemen Medical Charitable Society,NGOs
Yemen Women Union,NGOs
YMCA,NGOs
Young Men’s Christian Association,NGOs
Young Welfare Society,NGOs
Youth Alliance in Karamoja,NGOs
Youth Development and Voluntary Work Association,NGOs
Zafar Cooperation Organization,NGOs
Zamzam Foundation,NGOs
ZOA Refugee Care,NGOs
World Poultry foundations,NGOs
iMMAP,NGOs
United Way of Massachusetts Bay and Merrimack Valley,NGOs
Grupo de Apoio à Criança (GAC),NGOs
Corporacion andina de fomento,Other multi
Swedish Red Cross,red cross
International Fund for Agricultural Development,UN Multi
Merrill Lynch,Private sector corporations
Office for Intellectual Freedom,academia/think/research
European Union trust fund Bekou in CAR,EC
Agence Française de Développement,DAC governments
Methodist Church,Other
The Innocent Foundation,foundations
NoVo Foundation,foundations
Expertise France,DAC governments
Bank of Ireland,Private sector corporations
Electric Aid,foundations
Sheikh Abdullah Al-Nouri Charity Society,NGOs
Kuwait Foundation for the Advancement of Science,foundations
UNICEF National Committee/Mexico,UN Multi
The Religious Society of Friends (Quakers),Other
Diana Tamari Sabbagh Foundation,foundations
Association of Medical Doctors of Asia International,NGOs
ActionAid International,NGOs
Medicos del Mundo Spain,NGOs
Handicap International / Humanity & Inclusion,NGOs
Première Urgence (until 2010),NGOs
Rwandan Red Cross,red cross
Philippine Red Cross,red cross
Christian Children's Fund,NGOs
Abundant Life Church,Other
Africa Self Help Assistance Programme,NGOs
Malteser International Order of Malta World Relief,Other
Telefood Campaign,UN Multi
Plan Indonesia,NGOs
Zimbabwe CHF,CBPF
SOLIDAR INGO CONSORTIUM,NGOs
Human Appeal International (UAE),NGOs
Nepal ERF,CBPF
Qawafil for Relief and Development,NGOs
World Vision New Zealand,NGOs
Mary's Meals,NGOs
Preemptive Love Coaliton,NGOs
Watan Khayr Charity Foundation,NGOs
United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,UN Multi
Syrian Expatriates Medical Association,NGOs
HEALTH AND WATER FOUNDATION,NGOs
Syria Trust for Development,NGOs
Nuestros Pequeños Hermanos,NGOs
World Vision Somalia,NGOs
Evangelical Lutheran Church in America,other
Allianz Life Insurance Company of North America,private sector corporations
"Best Buy Co., Inc.",private sector corporations
BLU-MED Response Systems,Private sector corporations
"Cardinal Health, Inc.",private sector corporations
Dr Pepper Snapple Group,private sector corporations
"Gibson, Dunn & Crutcher",private sector corporations
Gilead Sciences Inc,Private sector corporations
Goldman Sachs Group,private sector corporations
Hanesbrands,private sector corporations
Healthworkers Community,other
Menasha Corporation,Private sector corporations
Ole Kirk’s Foundation,foundations
Patton Boggs LLP,private sector corporations
Pew Charitable Trusts,private individual organisations
REACH Initiative,Academia/think/research
Ruedi Lüthy Foundation,NGOs
Council of Governors - Rotary Korea,other
Jungbu Annual Conference of the KMC,other
Seobu Annual Conference of the KMC,other
Jersey Overseas Aid,other
Chinese Community in Peru,other
Eaux de Marseille (Société des),other
World Conference on Religions for Peace,other
Syrian Arab Popular Committee,other
IRA Fund,other
"Area Staff Union, HQ/Amman",other
Dutch Postcode Lottery,other
Flanders Cooperation,other
Saudi Public Campaign for Lebanon and Palestine,other
Sundry Donors,other
TOTAL,other
Golden Heart Fund,other
Oman Charitable Organisation,other
Waatasemu Charity Association,other
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,other
ISLAMIC HERITAGE SOCIETY,other
Balcombe,other
Association Solidarite Maroc Palestine,other
GAVI Alliance,other
General Secretariat of Awkaf,other
The Future of Global Health,other
Christelijke Gereformeerde Kerken   (Christian Reform Churches),Other
Somali Diaspora Aid Action Group,Other
"Korean Reconciliation Committee, Archdiocese of Korea",other
Medical Aids for Children of DPRK,other
21 Century Unification Service Organization,other
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,other
Association of South-North Kang-Won Province Cooperation,other
Global Partners,other
CE & S,other
EPRO,other
Community Peace Fund,other
Rahma International-Social Reform Society,Other
Global Food Crisis Fund,other
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,other
National Anti War Front,other
AASAA,other
Japanese Kindergarten Association,other
IGAD Partnership Forum,other
WEFA HUMANITARIAN RELIEF ORGANIZATION,other
Al-Islah Association,other
TEAR Fund New Zealand,other
Japan Platform,other
"?LOVEK V TÍSNI, O.P.S.",other
AAP,other
Access Relief and Development,other
Access to Quality Education Program,other
ACH-UK/INTERMON,other
Action de lutte contre la pollution des sources et des puits,other
Action for Independent Media,other
Action for Youth & Environmental Development,other
ACU/START,other
Adam's Peak,other
ADU_04,other
AFCAP,other
Afghan Center,other
Afghan Social and Agricultural Affairs Rehabilitation Organization,other
Afghanistan Independent Human Rights Commission,other
Afkar Society for Development and Humanitarian Relief,other
African Mission in Burundi,other
Agglobe Services InterNational and the Korean Unpasan General Trading Company,other
AGHSAN,other
Agricultural and Environmental Development Society,other
AICF-F,other
AIDER,other
Aids Foundation for Children,other
AiN - Afghanistankomiteen i Norge,other
Air Force Contracting Augmentation Program,other
Al Afran Media and Culture ,other
Al Anbar Center for Humanitarian Relief,other
Al-Afeea Fund,other
Al-Amal Community for Social Welfare,other
Alber Charity Society,Other
Allocation of unearmarked funds,other
Al-Ofiq Organization for Development and Emergency,other
Alshroog Organization for Social and Culture Development,other
Alternative,other
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other
Ambassador's Authority,other
American Lebanese Language Center,other
Angel Network,other
APEC (Association pour la protection de l'enfance  au Congo),other
APEDE,other
APPRONA,other
Appui aux Initiatives de Bien Etre Familial,other
Arab Medical Equipment and Services Organization,other
Arbeiterwohlfahrt Bayern,other
Armadilla S.c.s. Onlus,other
Arno Kobamaron CBO,other
Ärzte ohne Grenzen e.V.,other
ASAL,other
Asal Rural Development Organization,Other
ASEP,other
Association d'aide à la femme et de la communication,other
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",other
Association for Humanity Development,other
Association for the Advancement of Democratic Rights-Legal Aid,other
Association Notre Dame de Protection,other
Association of Chinese Evangelical Ministry Limited,other
Association of Evangelicals in Africa,other
Association pour le développement de M'Bres,other
Association pour le Développement de Sila,other
Association pour le Progrès et la Défense des Droits des Femmes,other
Association pour les enfants oubliés,other
Association Rég. d'Appro. en Médicaments Essentiels,other
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,other
ATAV - Assoc. Tsunami Aides aux Victimes,other
ATDL BUKAVU,other
Autorités locales,other
AVRE -Support to Victims for Emotional Recovery,other
AYUUB Organization,other
Balancing entry of ERF allocations,other
Baluchistan Boys Scouts Association,other
Bär + Leu,other
Bashaer,other
Basic Education and Employable Skill Training,other
Basic Needs,other
BD,other
BDCD,other
Beaconhouse,other
Bel Avenir,other
Belun,other
Berne helps Lviv,other
Bill Emerson Humanitarian Trust,other
Birdlife InterNational,other
blank,other
BMaA,other
British Agencies Afghanistan Group,other
Broadcasting Board of Governors,other
BTC,other
Campana Colombiana Contra Minas,other
Carry-over (donors not specified),other
Cchin HR Organization,other
Ceilu,other
Center for Defending Freedom of Journalists,other
Central Social,other
Centre d'Alerte et de Prevention des Conflits,other
Centre d'Appui aux Initiatives de Développement Local,other
Centre de Promotion Socio-Sanitaire,other
Centre pour enfants des rues de Bel-Air,other
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,other
Centro Integral de Rehabilitación de Colombia,other
CESADEMA,other
CFD,other
Chaîne du Bonheur,other
CHAINES,other
China Association for NGO Cooperation,other
China Centre for Disease Control and  Asia-Australia Mental Health,other
CHORA,other
CIAA,other
CIMIR- Fred Polk,other
Circassian Charity Association,other
CIVIC,other
CIVIC (Valid until August 2012),other
Cluster Munitions Conference,other
Coach,other
College Suisse/Fondation S.O.S,other
Commission diocésaine justice et paix (CDJP),other
"Commission for Reception, Truth and Reconciliation",other
Committee for the Palestinian Fund,other
Committee partnersh Linz- San Carlos,other
Community Action Programme,other
Community Aid for Development,other
Community Appraisal Programme,other
Community Humanitarian Emergency Board,other
Community Research and Development Organization,other
Connacionales del Extranjero,other
Control Arms,other
Coof Bamako,other
Coof Ouagadougou,other
Cooperative League of the USA,other
Coordination Institute Humanitarian,other
Counselling Services Unit,other
CRADA,other
CRRDC-TD,other
CRS and Private Foundations,other
Dag Hammarskjold Scholarship Fund for Journalists,other
Daniela Punz,other
Dejarup,other
Den norske lægeforening - UD-tilskudd,other
Den norske Tibet-komite,other
DENAL,other
Departementenes Servicesenter,other
Department of Defense,other
Department of Justice and Police,other
Devcon,other
Development Initiatives Access Link,other
Development of Palestinian Farmer Association - Deir Albalah,other
DIA,other
DIA - Social Justice in development,other
DIA Eritrea/ICCO,other
Dialog Forening,other
DIOBASS,other
Diocese of Meru,other
Disaster Prevention and Preparedness Agency,other
Dispositif National de Prévention et de Gestion des Crises Alimentaires,other
Dissimilis kult.og komp.senter,other
Distribuidora Ambiente,other
Div. Assoc.,other
Div. E+CIS,other
Diverse,other
DJO Incorporated,other
DoES,other
Donegal Peace Centre,other
Donor not reported by agency,other
DWF,other
EAUR,other
EC/UNDP Consortium,other
ECCRD,other
Echelle appui au développement,other
EDM,other
"Eine Welt Kreis, Zell an der Pram",other
Eine Welt-öö Landlerhilfe,other
El Barde Primary Helath Care Organization,other
El Ruhama for Development and Humanitarian Aid,other
ELIMU,other
Emergency Action Uganda,other
Emergency Life Support for Civilian War Victims,other
Emergency Management Unit,other
Emergency Organization Group Copenhagen,other
EP-Team,other
Erika Weissenböck,other
ESPE,other
ETHZ/SED/CRAAG,other
European Committee for Agriculture and Training,other
European Grassroots Antiracist Movement,other
Experts Comptables Associés,other
Famine Early Warning Sytem,other
FAR/IRC,other
FAREM,other
Farmer Life Development Agency,other
Fazilia Trust Pakistan,other
FERT,other
Finca,other
Flakstad Kommune,other
Flanders Cooperation ,other
Focus Humanitarian Assistance,other
Foro Femenino Ma Maeztu,other
Forward Edge InterNational,other
Foundation of the United for Relief and Adiding Development ,other
FPDO,other
Franziskaner,other
Fray Rene Giroux Mission,other
Freundschaftsbrucke-Kinder der Perestroika e.V,other
FRT,other
FTHS,other
Fuel Relief Fund ,other
Fund for the Good Living in Muslim Countires,other
Fundación AMEPBO ,other
G.havanbedrijf Antwerpen,other
GAAC,other
GCIDS,other
GDPI,other
GECONKFOR/CIMIC,other
Gedo Women Development Organization,other
Gender Education Empowerment and Leadership Organization,other
General Service Agency,other
German Development Service,other
GESA -  Gesundheitshilfe Afghanistan e.V,other
GFC,other
Global Initiative to End All Corporal Punishment of Children,other
Global Links,other
Global Recruitment Fund,other
GMAC,other
Gol-yome Rehabilitation and Development Organization,other
Greek Orthodox Patriarchate of Antioch and all of the East,other
Groupe d’Action pour la Promotion de la Femme,other
Groupement des Artisans ruraux d’INTADENE-GARI,other
Groupement Ingenieria Estrella,other
GRT,other
Grupo Col. - Suisse,other
HA + SHA / IOM,other
Hakima,other
Hands Off Cain,other
HCS,other
Health and Environment Development Society ,other
Hebrew Immigrant Aid Society,other
Help In Need,other
Helping Hand for Relief & Development,other
HHB,other
HH-SKH,other
HIAS RefugeeTrust,other
Hidaya Rehabilitation Corporation for Special Need,other
Hold the Child Organisation,other
Holt InterNational Childrens Services,other
Hopital Albert Schweitzer,other
Housing and Property Directorate,other
Huairou Commission,other
Humanitarian Action for the People Afghanistan,other
Humanitarian Aid and Development Organization,other
Humanitarian Cargo Carriers,other
Humanitarian Forum Indonesia,other
Humanitarian Initiative Just Relief Aid Organizaiton,other
Humanitarian Initiative Just Relief Aid Organization,other
Humanity First,other
Ibdesch Patenschaften,other
ICMA - InterNational City/County Management Association,other
ICMPD/IOM,other
IHI - InterNational Humanitarian Initiative,other
IHS,other
IIDA Women's Development Organization,other
I-LIFE,other
IMA,other
INFONOR,other
Initiativ for Etisk Handel,other
Institut Menzingen,other
Integrated Health Services,other
Integrated Sustainable Livelihoods,other
Intergovernmental Organization,other
InterNational Alliances,other
InterNational Emergency and Development Aid,other
InterNational Humanitarian City,other
InterNational Humanitarian Fact-Finding Commission,other
InterNational Humanitarian Fund LIBA,other
InterNational Peace Building Alliance/WSP InterNational,other
InterNational Rehabilitation Council of Tortured Victims,other
International Talk Network Ltd,other
Interpeace,other
IOGT-NTO,other
IPYS - Instituto Prensa y Sociedad,other
IQC TBD,other
Iqra Cultural Center,other
Iraqi Relief Organisation,other
Iraqi Southern Sun Association,other
Irish Sri Lanka Trust Fund,other
Irish UNMIL Battalion,other
ISJ,other
Islamic Commission of Care,other
ISP IN AFRICA,other
ITF,other
JAFS,other
JAGAN. L.A.,other
Japan Actions for Relief Center,other
Japan-ASEAN Integration Fund,other
JEOP - Joint Emergency Operation,other
Jmaaiat Al ayadi Albaidaa - Lebanon,other
Johor Community Development Committee for Women and Family Development ,other
Joint IDP Profiling Service,other
Joint Mediation Support Team,other
Joint Military Commission,other
JSI,other
Juba Shine,other
Judicial System Monitoring Programme,other
Juridisk rådgivning for kvinner,other
Karuna Hpaan,other
Keren Hayesod,other
Kerk in Actie - Netherlands,other
Key Stone,other
Kids and Women Organization,other
KISIMA Peace and Development Organization,other
"Kjemisk Forbund, Palestinagruppene",other
Klaila Organisation,other
Kobü,other
Kompetansesenteret for urfolksrettigheter,other
Koperativ Agrikol Tibiwon,other
"Korea State Council, Lions Clubs InterNational",other
Kosovo Force (NATO)/Civil-Military Co-operation,other
KPR,other
Kriminalomsorg.utdanningssent,other
L'Agora/Madani Dia,other
Lambi Fund of Haiti,other
"Landsorganisasjonen i Norge, internasj. sekret.",other
LEAD Trust,other
LH/ACT,other
Liberia Reconstruction Trust Fund,other
Liberia WASH Consortium,other
Libyan Relief Committee,other
LIDEAS DRC,other
Life for Syria,other
LSQC,other
M. J. Murdock Charitable Trust,other
M.A.C. AIDS Fund,other
MAAMS,other
Mag. Raheb,other
MAI,other
Majulah Indonesia Tanah Airku,other
Mala Sirena,other
Malawi Economic Justice Network,other
Man in Need,other
Management Services for Health,other
MAPACT,other
Marsh Arabs,other
Matrix,other
MDC / TMAC,other
Medina,other
Memorial Human Rights Centre,other
MEN,other
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),other
MfAS,other
Mine Action Group,other
Mine Action Programme for Afghanistan,other
Mine Detection Centre,other
Ministry of Environment and University of Zurich,other
Ministry of Foreign Affairs,other
MIR - MUXO Impact Relief,other
Misericordia InterNational Center Day Care,other
Missionnaires du Divin Maître/Shabunda,other
MoAAH/FAO,other
Morija,other
Mother and Children Development Aid,other
MRCA - Medical Refresher Course for Afghan,other
MRCA / AMI,other
MRRD/UNICEF,other
MRRD/UNOPS,other
MSI,other
MSZ,other
Multilateral Agencies,other
Multiple Partners,other
"NABA""A",other
NAC,other
Nachbar in Not,other
Nærings- og Handelsdepartementet,other
National Center for the Prevention of HIV/AIDS,other
National Committee for Demining and Rehabilitation,other
National Committee for Disaster Management,other
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,other
National Development Organization,other
National Radio Appeal,other
National Rural Support Programme,other
National Society for Rehabilitation,other
Natur Environments & Wildlife Society and Calcutta Foundation,other
Neighborhood Disaster Volunteers,other
Network on Humanitarian Assistance,other
NETZ,other
New Consultancy and Relief Organization,other
Next Step AS,other
NGOs; Red Cross (details not yet provided) ,other
NGOs; Red Cross/Red Crescent (details not yet provided),other
NIISO,other
Nile Mission,other
NMIAD,other
No channel specified,other
Nomadic Assistance for Peace and Development,other
Nomads Development and Environmental Conservation,other
Non Violent Peace Force Sri Lanka ,other
Norges Fredslag,other
Norges Juristforbund,other
Norsk forbund f. utv.hemmede,other
Norsk tamilsk helse organisasjon,other
Norsk Vietnamesisk Senter,other
NU,other
OAP,other
Office for Drug Control and Crime Prevention,other
Office for Intellectual Freedom ,other
Official Development Assistance,other
Òganizasyon Fanm tou Nèf Balan,other
OIC Aid Committee for the Child Victims of Tsunami,other
öKO HIMAL,other
OneBeacon Charitable Trust,other
ONG Actions,other
Open Continent,other
Operation Lifeline Sudan,other
Operations Team,other
Organisation for Mine Awareness and Reconstruction,other
Orphans and Divorced Rights Association,other
Oslosenteret for fred og menneskerettigheter,other
Other income,other
Ottawa Convention Sponsorship Programme,other
Ottawa Convention Sponsorship Programme ,other
PA_05,other
"PADCO, WWCIS, ASI",other
PAIMAN Alumni Trust,other
Pain Pour Les Déshérités (PPLD),other
Pakistansk Velferdsorganisasjon Norge,other
Palestinian Farmers Union,other
Palestinian Peace Coalition ,other
Panzi Hospital,other
PAP,other
PARD,other
Parliamentary Forum,other
Paroecia Latina S.Catharinae,other
Participatory Educational Awareness and Community Empowerment,other
PARTNERS,other
Patient Friendly Society,other
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,other
Peoples' Organization for Development and Rehabilitation,other
Père Jaar,other
Perkumpulan Paluma Nusantara,other
Perspectives pour la Santé et le Développement,other
Pew Charitable Trusts ,other
PIAL,other
PIDAD,other
PIPA,other
"Plateforme d""insertion par l""humanitaire",other
PLO DoRA,other
Politidirektoratet,other
Posko Atambua,other
PREPARED,other
Press Trust / IDI,other
PRIMA SYNERGIE,other
Private Voluntary Organizations,other
Progedes-Nicaragua,other
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,other
Programme for Emergency Education and Reconstruction ,other
Progressive Interventions,other
PSF-France/Clermont-Ferrand,other
PSO,other
Psykisk Helsevern Østfold HF v/ Norum,other
Pyoe Pin,other
"Raad, Liv",other
"Raftostiftelsen, prosjekt",other
Raggio di Luce ,other
Rainbow Gateway,other
Rainwater Association of Somalia,other
RCO,other
RCT,other
Reach Vulnerable,Other
REDOG,other
Reform Society,other
Reseau des Entrepreneurs Solidaires,other
Responsive,other
Results Japan,other
Root of Grass,other
Rosalia Hoog,other
RTI,other
Rural Capacities Development Committee,other
Rural Centre for Sustainable Development,other
Rural Development Initiative South Sudan,other
Rural Empowerment and Institutional Development,other
Rural Support Programmes Network,other
Rural Water and Sanitation Support Agency,other
SADRI,other
Safa Marwa Relief and Development Organization,other
SAFDF,Other
Samerådet,other
Sametinget,other
Samis,other
SANAR YURDATAPAN  - FEA,other
Sanitary of Epidemiological Station,other
Sant''Egidio,other
SC/US and World Vision,other
SCD-RB,other
Schools Association for Formal Education,other
SDW,other
SECONRED,other
Sedec-Hudec,other
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,other
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,other
Sentinelles,other
