Recipient.Organization,deliverychannels
Makhzoumi Foundation,NGOs and CSOs
Agency for Assistance and Development of Afghanistan,NGOs and CSOs
Organization for Research and Community Development,NGOs and CSOs
Rural Community Action for Peace and Development,NGOs and CSOs
Global Family,NGOs and CSOs
Myanmar Nurse and Midwife Association,NGOs and CSOs
Palestinian Housing Council,NGOs and CSOs
Jiyan Foundation for Human Rights,NGOs and CSOs
TAJDID Iraq†Foundation for Economic Development,NGOs and CSOs
Al-Khanjar Foundation,NGOs and CSOs
Aman Jordanian Association,NGOs and CSOs
Ramakrishna Mission,NGOs and CSOs
Alinshat Area  Association (Inshaat),NGOs and CSOs
Circassian Charity Association,NGOs and CSOs
Al Afia Fund Charity,NGOs and CSOs
Al-Birr Association for Charity and Social Services,NGOs and CSOs
Caritas Centrafricaine,NGOs and CSOs
Main dans la Main pour l'Assistance Humanitaire et le DÈveloppement Durable,NGOs and CSOs
Life Makers Meeting Place Organization,NGOs and CSOs
Al-Atta Institution for Social Development and Charity,NGOs and CSOs
Syria Relief and Development,NGOs and CSOs
FundaciÛn Halu Bienestar Humano,NGOs and CSOs
Heevie Kurdistan Development,NGOs and CSOs
The Engineering Association for Development and Environment,NGOs and CSOs
United Foundation for Relief and Abiding Development,NGOs and CSOs
Stichting ZOA,NGOs and CSOs
Doctors Aid Medical Activities,NGOs and CSOs
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs and CSOs
Darfur Development and Reconstruction Agency (DDRA),NGOs and CSOs
Nada Elazhar for Disaster Prevention and Sustainable Development,NGOs and CSOs
Iraqi Al-Mortaqa Foundation for Human Development,NGOs and CSOs
Sorouh for Sustainable Development Foundation,NGOs and CSOs
National Foundation for Development and Humanitarian Response,NGOs and CSOs
Community Agribusiness Development Agency,NGOs and CSOs
Business Incubation Association in Tripoli,NGOs and CSOs
Asia Humanitarian Organization,NGOs and CSOs
Comprehensive Health and Education Forum International,NGOs and CSOs
Foundation for Rural Development,NGOs and CSOs
Frontier Organization for Reforms and Transformation,NGOs and CSOs
Humanitarian Organization for Poverty Elimination,NGOs and CSOs
Kamore Development Welfare Organization,NGOs and CSOs
Pakhtunkhwa Rural Support Program,NGOs and CSOs
LASOONA - Society for Human and Natural Resource Development,NGOs and CSOs
Philanthrope,NGOs and CSOs
Poverty Alliance Welfare Trust,NGOs and CSOs
Sanjh Preet Organization,NGOs and CSOs
Society for Appraisal and Women Empowerment in Rural Areas,NGOs and CSOs
Women Concerns Organization,NGOs and CSOs
RABT Development Organization,NGOs and CSOs
Coordination of Afghan Relief,NGOs and CSOs
Afghan Planning Agency,NGOs and CSOs
Youth Health & Development Organization,NGOs and CSOs
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs and CSOs
Zulfa Development and Peace Organization,NGOs and CSOs
Cooperation for Development Organization,NGOs and CSOs
Auranitis Life Line for development and training,NGOs and CSOs
Ratana Metta Organization,NGOs and CSOs
Safadi Foundation,NGOs and CSOs
UTOPIA Organization,NGOs and CSOs
Actions ConcrËte pour la Protection de l'Enfance,NGOs and CSOs
Association des jeunes pour le dÈveloppement communautaire,NGOs and CSOs
CorporaciÛn Infancia y Desarrollo (CID),NGOs and CSOs
Centre de DÈveloppement IntÈgral pour líEnfant Rural,NGOs and CSOs
Collectif Alpha Ujuvi (CAU),NGOs and CSOs
Rebuild Hope for Africa,NGOs and CSOs
Roles for Social Change Association,NGOs and CSOs
Myittar Resource Foundation,NGOs and CSOs
African Disability Association,NGOs and CSOs
Chavin Organization for the Care of Children,NGOs and CSOs
Tawa Organization for Civil Development,NGOs and CSOs
Community Aid for Relief and Development,NGOs and CSOs
Help Restore Youth South Sudan,NGOs and CSOs
Community Aid for Fisheries and Agriculture Development,NGOs and CSOs
Children Aid South Sudan,NGOs and CSOs
Centre for Emergency and Development Support,NGOs and CSOs
Abo Mousa Alashary Social Charitable Association,NGOs and CSOs
NGO Development Center,NGOs and CSOs
Palestinian Center for Human Rights,NGOs and CSOs
"Association des Volontaires pour la Recuperation des Enfants Orphelins,AbandonnÈs,DÈplacÈs et Mal",NGOs and CSOs
Save Congo,NGOs and CSOs
Help The Needy,NGOs and CSOs
SOS Sahel Ethiopia,NGOs and CSOs
Shaqodoon Organization,NGOs and CSOs
Syria Relief Network,NGOs and CSOs
Kabkabiya Women Charitable Society,NGOs and CSOs
Relief and Mediation Corps,NGOs and CSOs
"Emergency Relief, Rehabilitation and Development Agency",NGOs and CSOs
Saeker Charitable Society,NGOs and CSOs
National Humanitarian Aid Organization,NGOs and CSOs
National Initiative for Development Organization,NGOs and CSOs
Trust Rehabilitation and Development Organization,NGOs and CSOs
SOS Sahel Sudan,NGOs and CSOs
Action Health Incorporated,NGOs and CSOs
Upper Nile Youth Mobilization for Peace and Development Agency,NGOs and CSOs
Community Health and Development Organization,NGOs and CSOs
National Relief and Development Corps,NGOs and CSOs
Community Initiative for Development Organization,NGOs and CSOs
Humanitarian Aid for Change and Transformation,NGOs and CSOs
The Rescue Initiative South Sudan,NGOs and CSOs
Bent Al-Rafedain Organization,NGOs and CSOs
Bothoor Alkhaer Human Organization,NGOs and CSOs
Emergency Medical Care for Affected People,NGOs and CSOs
Canadian Aid Organization for International Society Rehab,NGOs and CSOs
The Critical Needs Support Foundation,NGOs and CSOs
Dary Human Organization for Relief and Medical Care,NGOs and CSOs
Health & Social Care Organization in Iraq,NGOs and CSOs
Orchard Association for Children Protection and Education,NGOs and CSOs
Sahara Economic Development Organization,NGOs and CSOs
Stichting Cordaid,NGOs and CSOs
Sabe' Sanabal Organization for Relief and Development,NGOs and CSOs
WRO,NGOs and CSOs
Terre des Hommes - Italy | World Vision International,NGOs and CSOs
Rural Women's Development Society,NGOs and CSOs
Mothers and Children Multisectoral Development Organization (MCMDO),NGOs and CSOs
The Disabled and their Friends Charity Association (DTF),NGOs and CSOs
Centre for Community Health and Development International,NGOs and CSOs
Kanem Borno Human Development Association,NGOs and CSOs
Restoration of Hope Initiative,NGOs and CSOs
Women in the New Nigeria and Youth Empowerment Initiative,NGOs and CSOs
Aid Vision,NGOs and CSOs
Rescue Team International,NGOs and CSOs
African Volunteers for Relief and Development,NGOs and CSOs
Action pour le DÈveloppement du Sahel,NGOs and CSOs
All Girls Foundation for Development,NGOs and CSOs
Health Work Committees,NGOs and CSOs
Psycho Social Counselling Center for Women,NGOs and CSOs
Sidra Organization for Development and Reconstruction,NGOs and CSOs
Sadad Humanitarian Organization,NGOs and CSOs
Mobile Theatre Team,NGOs and CSOs
Grassroots Relief and Development Agency,NGOs and CSOs
AFAK Future for Capacity Building,NGOs and CSOs
JORDAN RIVER FOUNDATION,NGOs and CSOs
Jordan Women Union-Un Ponte Per,NGOs and CSOs
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs and CSOs
Association Nabad for Development,NGOs and CSOs
Action for Population and Sustainable Development,NGOs and CSOs
Enfants sans FrontiËres,NGOs and CSOs
Human for Human Organization,NGOs and CSOs
Empowering Vulnerable Society Organization,NGOs and CSOs
Women Pioneers for Peace and Life,NGOs and CSOs
Taakulo Somaliland Community,NGOs and CSOs
Health Education Agricultural-pastoralist,NGOs and CSOs
Bena Charity For Human Development,NGOs and CSOs
Field Medical Foundation,NGOs and CSOs
Youth Leadership Development Foundation,NGOs and CSOs
Responsiveness for Relief and Development,NGOs and CSOs
Tamdeen Youth Foundation,NGOs and CSOs
"Candlelight for Health, Education and Environment",NGOs and CSOs
Street Child Organization,NGOs and CSOs
Hope and Rural Aid Foundation,NGOs and CSOs
National Prisoner Foundation,NGOs and CSOs
For All Foundation,NGOs and CSOs
Medical Mercy Foundation,NGOs and CSOs
Association for Community Development,NGOs and CSOs
Touch Africa Development Organization,NGOs and CSOs
Medicair - South Sudan,NGOs and CSOs
Nile Sustainable Development Organization,NGOs and CSOs
Catholic Medical Missons Board,NGOs and CSOs
Andre Foods South Sudan,NGOs and CSOs
Organization for Peoples' Empowerment and Needs,NGOs and CSOs
Community Organization for Emergency and Rehabilitation,NGOs and CSOs
Titi Foundation,NGOs and CSOs
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs and CSOs
Education Above All Foundation,NGOs and CSOs
Somali Relief and Development Action,NGOs and CSOs
Faros Organizaton,NGOs and CSOs
Filoxenia International,NGOs and CSOs
Action Africa Help-International,NGOs and CSOs
Peace Boat Disaster Relief Volunteer Center,NGOs and CSOs
Healthlink South Sudan,NGOs and CSOs
AABO AKADEMI UNIVERSITY,NGOs and CSOs
Aamin Voluntary Relief Organization,NGOs and CSOs
AAPKI Foundation,NGOs and CSOs
Aayo Development Foundation,NGOs and CSOs
Abraham's Oasis,NGOs and CSOs
Accio Solidaria IGMAN,NGOs and CSOs
Accion Contra el Hambre,NGOs and CSOs
ACDI/VOCA,NGOs and CSOs
ACE Charitable Foundation,NGOs and CSOs
Acehís People Forum,NGOs and CSOs
ACFOA,NGOs and CSOs
ACH - UK,NGOs and CSOs
ACT Alliance ,NGOs and CSOs
ACT Alliance / Presbyterian Disaster Assistance,NGOs and CSOs
ACT Netherlands,NGOs and CSOs
ACT/Diakonie,NGOs and CSOs
Action Aid,NGOs and CSOs
Action contre la Faim / contra Hambre / Against Hunger,NGOs and CSOs
Action Contre la Faim-Espagne,NGOs and CSOs
Action Contre la Faim-France,NGOs and CSOs
ActionAid,NGOs and CSOs
Actions pour le Developpement Integre en Mileu Rural,NGOs and CSOs
ADC Foundation,NGOs and CSOs
ADRA Cambodia,NGOs and CSOs
ADRA Canada,NGOs and CSOs
ADRA Denmark,NGOs and CSOs
ADRA Germany,NGOs and CSOs
ADRA Nepal,NGOs and CSOs
ADRA PASMIC,NGOs and CSOs
ADRA Sweden,NGOs and CSOs
ADRA UK,NGOs and CSOs
ADRA Yemen,NGOs and CSOs
ADRA Zimbabwe,NGOs and CSOs
ADRA/HELP InterNational,NGOs and CSOs
ADRA-Haiti,NGOs and CSOs
Adventist Development and Relief Agency ,NGOs and CSOs
Adventist Development and Relief Agency - Nepal,NGOs and CSOs
Adventist Development and Relief Agency (New Zealand),NGOs and CSOs
Aetna Foundation,NGOs and CSOs
Afkar Society for Development and Humanitarian Relief,NGOs and CSOs
African Child Outreach Trust,NGOs and CSOs
African Development and Emergency Organisation,NGOs and CSOs
African Educational Trust,NGOs and CSOs
Africare ,NGOs and CSOs
Agency for Co-operation and Research in Development,NGOs and CSOs
Agenzia Italiana Risposta Emergenze,NGOs and CSOs
Agricultural Cooperative Development InterNational,NGOs and CSOs
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs and CSOs
Agricultural Development Association (PARC),NGOs and CSOs
Agricultural Research Corporation,NGOs and CSOs
Aid for Refugees and Orphans,NGOs and CSOs
Aide ‡ l'Enfance de Canada,NGOs and CSOs
Aide MÈdicale  InterNationale ,NGOs and CSOs
Airbus Foundation,NGOs and CSOs
Al ghara Charity Organization-Jordan,NGOs and CSOs
Al Manar Voluntary Organization,NGOs and CSOs
Alcoa Foundation,NGOs and CSOs
ALDHU - Latin American Association for Human Rights ,NGOs and CSOs
AlertNet,NGOs and CSOs
Alexander Bodini Foundation,NGOs and CSOs
Al-Khidmat Foundation,NGOs and CSOs
All Hands Volunteers (previously Hands On Disaster Response),NGOs and CSOs
Allstate Foundation,NGOs and CSOs
Almassar Charity Organization for Nomads,NGOs and CSOs
ALNAP - Active Learning Network for Accountability and Performance,NGOs and CSOs
AMAR Foundation,NGOs and CSOs
AMDA InterNational,NGOs and CSOs
AMEL,NGOs and CSOs
American Institutes for Research,NGOs and CSOs
America's Development Foundation ,NGOs and CSOs
Amitie sans Frontieres,NGOs and CSOs
AMITY FOUNDATION,NGOs and CSOs
Amnesty InterNational Norge,NGOs and CSOs
Annie E. Casey Foundation,NGOs and CSOs
ANSO / IRC,NGOs and CSOs
APOPO,NGOs and CSOs
Apostolic Christian World Relief,NGOs and CSOs
Arab Association for Human Rights,NGOs and CSOs
Arab Medical Union,NGOs and CSOs
ARC EN CIEL,NGOs and CSOs
ArcelorMittal Foundation,NGOs and CSOs
AREU - Afghan Research and Evaluation Unit,NGOs and CSOs
"ARIGATOU FOUNDATION, JAPAN",NGOs and CSOs
"Arts for Peace	",NGOs and CSOs
Asia Foundation,NGOs and CSOs
Association for Aid and Relief,NGOs and CSOs
Association pour le Progres et la Defense des Droits des Femmes,NGOs and CSOs
Association rwandaise des conseillers en traumatisme ,NGOs and CSOs
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),NGOs and CSOs
Associazione par la Solidarieta Internazionale in Asia,NGOs and CSOs
AT&T Foundation,NGOs and CSOs
Atlantic Philanthropies,NGOs and CSOs
Australians Care for Refugees,NGOs and CSOs
AVSF - Agronomes y Veterinaries sans FrontiËres,NGOs and CSOs
Award,NGOs and CSOs
Awaz Foundation Pakistan Center for Development Services,NGOs and CSOs
BAHA'I InterNational COMMUNITY,NGOs and CSOs
Barclay's Foundation,NGOs and CSOs
Baxter InterNational Foundation,NGOs and CSOs
Benfica Foundation,NGOs and CSOs
Bernard van Leer Foundation,NGOs and CSOs
Best Buy Children's Foundation,NGOs and CSOs
BGR - German Federal Institute for Geosciences and Natural Resources ,NGOs and CSOs
BHN Association -Telecom for Basic Human Needs,NGOs and CSOs
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",NGOs and CSOs
Boston Foundation,NGOs and CSOs
Boston Foundation (Ansara Family Fund),NGOs and CSOs
BP Foundation,NGOs and CSOs
BRASCRI ,NGOs and CSOs
Bread for the World,NGOs and CSOs
Bright Future Organization,NGOs and CSOs
Brother's Brother Foundation,NGOs and CSOs
Buddhist Compassion Relief Tzu Chi Foundation,NGOs and CSOs
Build-A-Bear Workshop Foundation,NGOs and CSOs
Burnet Institute,NGOs and CSOs
Burton D. Morgan Foundation,NGOs and CSOs
Butterfly Onlus Foundation,NGOs and CSOs
Buuck Family Foundation,NGOs and CSOs
CAN FOUNDATION ,NGOs and CSOs
Canada Safeway Foundation,NGOs and CSOs
Canadian Catholic Organization for Development and Peace,NGOs and CSOs
Canadian Coalition,NGOs and CSOs
Canadian Journalist/Free Expr,NGOs and CSOs
Canadian Journalists Free Expression ,NGOs and CSOs
CARE Myanmar,NGOs and CSOs
CareFusion Corporation,NGOs and CSOs
CareSource Foundation,NGOs and CSOs
CARITAS Allemagne (DCV),NGOs and CSOs
Caritas DÈveloppement,NGOs and CSOs
Caritas France,NGOs and CSOs
Caritas Germany,NGOs and CSOs
Caritas Hong kong,NGOs and CSOs
Caritas Hungary,NGOs and CSOs
Caritas Katanga,NGOs and CSOs
Caritas Manila,NGOs and CSOs
Caritas/MCC,NGOs and CSOs
Carnegie Corporation of New York,NGOs and CSOs
Catholic Migration Commission,NGOs and CSOs
Caucasus Environmental NGO Network ,NGOs and CSOs
Cavish Development Foundation,NGOs and CSOs
Center for Citizenship Education,NGOs and CSOs
Center for Culture and Development,NGOs and CSOs
Center for Disease Control and Prevention,NGOs and CSOs
Central Minnesota Community Foundation ,NGOs and CSOs
Centre De Crise,NGOs and CSOs
Centre de RÈflexion Europe Afrique ,NGOs and CSOs
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs and CSOs
Centre for InteNational Political Studies,NGOs and CSOs
Centre for InterNational Studies and Cooperation ,NGOs and CSOs
Centre pour la Promotion de la Sante,NGOs and CSOs
Centrum voor Afrikaanse Cultuur,NGOs and CSOs
CHA - Coordination of Humanitarian Assistance,NGOs and CSOs
Chaine du Bonheur,NGOs and CSOs
Charles Schwab Foundation,NGOs and CSOs
CHF InterNational,NGOs and CSOs
Children Assistance Programme ,NGOs and CSOs
Children InterNational,NGOs and CSOs
Children of Peru Foundation (New York),NGOs and CSOs
Children without Borders,NGOs and CSOs
Children's Home Society of Minnesota,NGOs and CSOs
Children's Investment Fund Foundation,NGOs and CSOs
Christian Aid,NGOs and CSOs
Christian Aid-UK,NGOs and CSOs
Christian Blind Mission,NGOs and CSOs
Christian Care,NGOs and CSOs
Christian Children's Fund ,NGOs and CSOs
Christian Commission for Development in Bangladesh,NGOs and CSOs
Christian Reformed World Relief Committee,NGOs and CSOs
Chrysler Foundation,NGOs and CSOs
Church World Service,NGOs and CSOs
Cisco Foundation,NGOs and CSOs
Cleveland Foundation,NGOs and CSOs
Clinton Foundation,NGOs and CSOs
Clowns without Borders,NGOs and CSOs
Coastal Community Foundation of South Carolina,NGOs and CSOs
COFRA,NGOs and CSOs
Collectif HaÔti de France,NGOs and CSOs
Colombiana Contra Minas,NGOs and CSOs
Comision EspanÙla de Ayuda al Refugiado,NGOs and CSOs
Communaute des Eglises de Pentecote en Afrique,NGOs and CSOs
CommunautÈs locales FYROM,NGOs and CSOs
Community Bridge Initiative,NGOs and CSOs
Community Chest Korea,NGOs and CSOs
Community Foundation for Southern Arizona,NGOs and CSOs
Community Foundation of Broward,NGOs and CSOs
CONCERN,NGOs and CSOs
Concern Universal,NGOs and CSOs
CONCORD,NGOs and CSOs
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs and CSOs
Consortium of British Humanitarian Agencies,NGOs and CSOs
Convoy of Hope,NGOs and CSOs
Cummins Foundation,NGOs and CSOs
"CVS Caremark Charitable Trust, Inc.",NGOs and CSOs
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,NGOs and CSOs
Dabane Trust,NGOs and CSOs
DACAAR,NGOs and CSOs
Danchurchaid,NGOs and CSOs
Danish Mission Council,NGOs and CSOs
Danish-ethiopia commen initiative,NGOs and CSOs
Dark & Light Foundation,NGOs and CSOs
Daystar Christian Centre,NGOs and CSOs
Detachement d'Intervention contre les Catasrophes et de Formation,NGOs and CSOs
Deutsche Stiftung,NGOs and CSOs
Development Frontiers International,NGOs and CSOs
"Diakonia, Sweden",NGOs and CSOs
Diakonie Austria,NGOs and CSOs
Diakonie Emergency Aid,NGOs and CSOs
Direct Relief InterNational,NGOs and CSOs
DirectAid,NGOs and CSOs
Disaster Resource Network,NGOs and CSOs
Don Bosco Mondo Prokur,NGOs and CSOs
Double Harvest,NGOs and CSOs
Dubai Cares (UAE),NGOs and CSOs
Earthquake Relief Fund for Orphans,NGOs and CSOs
East Bay Community Foundation,NGOs and CSOs
eBay Foundation,NGOs and CSOs
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs and CSOs
Elena Trevisanato Onlus Foundation,NGOs and CSOs
EMERGENCY,NGOs and CSOs
Enfants Refugies du Monde ,NGOs and CSOs
Entrepreneurs du Monde,NGOs and CSOs
Environment Africa,NGOs and CSOs
EPER Lausanne,NGOs and CSOs
Ethiopian Mine Action Center,NGOs and CSOs
European Committe for Agriculture and Training,NGOs and CSOs
European Perspective,NGOs and CSOs
"F. M. Kirby Foundation, Inc.",NGOs and CSOs
Fact Mutare,NGOs and CSOs
FAFO ,NGOs and CSOs
Fairmed,NGOs and CSOs
Fairmount Minerals Foundation,NGOs and CSOs
Federation des ONG laiques ‡ Vocation Economique du Congo ,NGOs and CSOs
Feed My Starving Children,NGOs and CSOs
Feed the Children,NGOs and CSOs
Feed the Hungry,NGOs and CSOs
Fellowship for African Relief ,NGOs and CSOs
Fida InterNational (previously Finnish Free Foreign Mission),NGOs and CSOs
Film Aid,NGOs and CSOs
Finnchurchaid,NGOs and CSOs
Finnchurchaid/Mines Advisory Group,NGOs and CSOs
First Moscow Gymnasium,NGOs and CSOs
Flemish Office for Development Co-Operation and Technical Assistance,NGOs and CSOs
Flood Damage Rehabilitation Committee,NGOs and CSOs
Floridon Foundation,NGOs and CSOs
Folkekirkens Nodhjaelp,NGOs and CSOs
Fondation Assistance InterNationale,NGOs and CSOs
Fondation Meninos e Meninas de Rua,NGOs and CSOs
Fondation Orient Occident ,NGOs and CSOs
Fondazione Un Raggio di Luce,NGOs and CSOs
Food for the Hungry ,NGOs and CSOs
Ford Foundation,NGOs and CSOs
Forest for Peace,NGOs and CSOs
Forum for Early Warning ,NGOs and CSOs
Foundation for HR and Freedoms and Humanitarian Relief,NGOs and CSOs
Foundation-NL,NGOs and CSOs
FPL Group Foundation,NGOs and CSOs
Fred Hollows Foundation,NGOs and CSOs
French NGOs,NGOs and CSOs
FrËres des Hommes,NGOs and CSOs
"Friends of  UNRWA Association, USA",NGOs and CSOs
Friends of Love,NGOs and CSOs
Frontiers Ruwad,NGOs and CSOs
Fundacion Imagina,NGOs and CSOs
FUNDACION LA CAIXA (FLC),NGOs and CSOs
FundaciÛn para las Relaciones Internacionales y el Di·logo Exterior,NGOs and CSOs
Future of Orphans,NGOs and CSOs
Gaddafi InterNational Charity and Development Foundation (GICDF),NGOs and CSOs
Galicia Humanitarian Agency Foundation,NGOs and CSOs
GE Foundation,NGOs and CSOs
General Mills Foundation,NGOs and CSOs
General Motors Foundation,NGOs and CSOs
Georg Fischer (Clean Water Foundation),NGOs and CSOs
"German medical aid organisation ""action medeor""",NGOs and CSOs
Girls are a Treasure Network,NGOs and CSOs
Global Children Foundation,NGOs and CSOs
Global H20,NGOs and CSOs
GOAL/IRC,NGOs and CSOs
Gobi Regional Economic Growth Initiative,NGOs and CSOs
Grand Circle Foundation,NGOs and CSOs
Grant Foundation,NGOs and CSOs
"Greek Orthodox Ladies Philoptochos Society, Inc.",NGOs and CSOs
Gulf Coast Community Foundation of Venice,NGOs and CSOs
Halte Aux Mines Antipersonnel ,NGOs and CSOs
Handicap InterNational,NGOs and CSOs
Handicap InterNational/France,NGOs and CSOs
Hands Together,NGOs and CSOs
Harikar,NGOs and CSOs
Hashemite Charity Organization of Jordan,NGOs and CSOs
Have It Your Way Foundation,NGOs and CSOs
Heartland Alliance for Human Needs & Human Rights,NGOs and CSOs
Heart-to-Heart,NGOs and CSOs
HELP,NGOs and CSOs
HELP e.V.,NGOs and CSOs
Help for school,NGOs and CSOs
HELVETAS,NGOs and CSOs
Heritage Foundation,NGOs and CSOs
Heshima Kenya,NGOs and CSOs
Hewlett-Packard Company Foundation,NGOs and CSOs
Hilfe zur Selbsthilfe e.V.,NGOs and CSOs
Hillman Family Foundations,NGOs and CSOs
Himalayan Human Rights Monitors,NGOs and CSOs
Hiran Women Action on Advocay for peace & Human Rights,NGOs and CSOs
Home Depot Foundation,NGOs and CSOs
HOPE,NGOs and CSOs
HOPE'87,NGOs and CSOs
Horizon Foundation for New Jersey,NGOs and CSOs
Howard Buffet Foundation,NGOs and CSOs
H¯yskolen i Oslo,NGOs and CSOs
Human Appeal InterNational,NGOs and CSOs
Human Care InterNational,NGOs and CSOs
Human Rights and Humanitarian Assistance Foundation,NGOs and CSOs
Human Rights House Foundation ,NGOs and CSOs
Humana Foundation,NGOs and CSOs
Humane Society of the United States,NGOs and CSOs
Humanitarian Initiative Just Relief Aid Organizaiton,NGOs and CSOs
HumaniTerra International ,NGOs and CSOs
Humanity First USA,NGOs and CSOs
Hungarian Interchurch Aid,NGOs and CSOs
IAM - InterNational Assistance Mission ,NGOs and CSOs
"Ibero-American States Organization for Education, Science & Culture",NGOs and CSOs
Ibon Foundation,NGOs and CSOs
ICCO - Interchurch organisation for development co-operation,NGOs and CSOs
Icelandic Church Aid,NGOs and CSOs
ICU,NGOs and CSOs
IDRC,NGOs and CSOs
IFTIIN Education and Development Association,NGOs and CSOs
Iimaan Relief and Development Organization,NGOs and CSOs
IKEA Foundation,NGOs and CSOs
ILP-InterNational Law and Policy Group,NGOs and CSOs
Imperial College,NGOs and CSOs
Inasmuch Foundation,NGOs and CSOs
Information Management and Mine Action Programs,NGOs and CSOs
"Institute of Human Rights Communication, Nepal ",NGOs and CSOs
Instituto de Estudios del Hambre ,NGOs and CSOs
Interchurch Medical Assistance,NGOs and CSOs
Interchurch Organisation for Development Co-operation,NGOs and CSOs
Intermon Oxfam,NGOs and CSOs
InterNational Association for Maternal and Neonatal Health ,NGOs and CSOs
InterNational Center for Agricultural Research in Dry Areas ,NGOs and CSOs
InterNational Development Enterprises,NGOs and CSOs
InterNational Emergency and Development Aid Relief,NGOs and CSOs
InterNational Humanitarian Service ,NGOs and CSOs
InterNational Institute of Rural Reconstruction ,NGOs and CSOs
InterNational Institute of Tropical Agriculture ,NGOs and CSOs
InterNational Islamic Charity Organization,NGOs and CSOs
InterNational Islamic Relief,NGOs and CSOs
InterNational Trust Fund for Demining and Victim Assistance ,NGOs and CSOs
InterNational Voluntary Agencies,NGOs and CSOs
InterNational Youth Foundation,NGOs and CSOs
Internews Network,NGOs and CSOs
"INTERPAL, UK",NGOs and CSOs
INTERSOS,NGOs and CSOs
"INTERVIDA FOUNDATION, SPAIN",NGOs and CSOs
Intervita,NGOs and CSOs
Irish Research Council for the humanities and Social Councils,NGOs and CSOs
Islamic Centre of Tucson,NGOs and CSOs
ISS - Institute for Security Studies,NGOs and CSOs
J. Willard and Alice S. Marriott Foundation,NGOs and CSOs
Japan Committee for Refugee Relief,NGOs and CSOs
Japan Emergency NGOs,NGOs and CSOs
Japan Rescue Association,NGOs and CSOs
John D. and Catherine T. MacArthur Foundation,NGOs and CSOs
John Deere Foundation,NGOs and CSOs
John S. and James L. Knight Foundation,NGOs and CSOs
Joint Mine Action Coordination Team,NGOs and CSOs
Jolie-Pitt Foundation,NGOs and CSOs
Jordanian Hashemite Charity Organisation,NGOs and CSOs
Jordanian River Society,NGOs and CSOs
JPF - Japan Platform,NGOs and CSOs
JT InterNational Foundation,NGOs and CSOs
Juffali Foundation,NGOs and CSOs
KADECO,NGOs and CSOs
KAFA,NGOs and CSOs
Kepal Perempuan,NGOs and CSOs
Kerkinactie - Netherlands,NGOs and CSOs
Khalifa Bin Zyed Al Nehayan Foundation,NGOs and CSOs
Khalifa Foundation,NGOs and CSOs
Kher Khegara Tanzeem,NGOs and CSOs
Khoo Teck Puat Foundation,NGOs and CSOs
KINDER USA,NGOs and CSOs
Kingdom Foundation,NGOs and CSOs
Knowledge for Iraqi Women Society ,NGOs and CSOs
Korea Buddhist Order Association,NGOs and CSOs
Korean Farmers' Association,NGOs and CSOs
Korean Foundation for InterNational Healthcare,NGOs and CSOs
Kraft Foods Foundation,NGOs and CSOs
Kresge Foundation,NGOs and CSOs
Kroger Co. Foundation,NGOs and CSOs
Lance Armstrong Foundation,NGOs and CSOs
Land Research Center ,NGOs and CSOs
Latin American Benevolent Foundation,NGOs and CSOs
Latter Day Saints,NGOs and CSOs
Lebanese Association for Popular Action,NGOs and CSOs
LEGO Foundation,NGOs and CSOs
Leonardo DiCaprio Foundation,NGOs and CSOs
Levi Strauss Foundation,NGOs and CSOs
Lindner Foundation Uganda,NGOs and CSOs
LIONS CLUB,NGOs and CSOs
Lisa and Douglas Goldman Fund,NGOs and CSOs
Lloyd A. Fry Foundation,NGOs and CSOs
LPDS - Dr. Soetomo Press Institute,NGOs and CSOs
LSN - Landmine Survivors Network ,NGOs and CSOs
Lutheran Development Service,NGOs and CSOs
Lutheran World Federation,NGOs and CSOs
Lutheran World Relief,NGOs and CSOs
Lutheran World Relief (LWR/Canada),NGOs and CSOs
Madrasati,NGOs and CSOs
Mahvash and Jahangir Siddiqui Foundation,NGOs and CSOs
Malteser InterNational,NGOs and CSOs
Mastercard Foundation,NGOs and CSOs
McGregor Fund,NGOs and CSOs
Medecins d'Afrique,NGOs and CSOs
Medical Emergency Relief InterNational Charitable Trust,NGOs and CSOs
Medical Teams InterNational ,NGOs and CSOs
Medico Intl.,NGOs and CSOs
Medicor Foundation,NGOs and CSOs
Medicos del Mundo,NGOs and CSOs
Meds & Food for Kids,NGOs and CSOs
Medtronic Foundation,NGOs and CSOs
Mekka Association,NGOs and CSOs
MEMISA - Action mÈdicale missionnaire ,NGOs and CSOs
Mensen in Nood Caritas,NGOs and CSOs
Mentor Initiative,NGOs and CSOs
MERCY - USA FOR AID AND DEVELOPMENT,NGOs and CSOs
Mercy Corps ,NGOs and CSOs
