Recipient.Organization,recipientcodename
Foyer des Jeunes de Morne l'Hopital,NGOs
Kachin Baptist Convention,NGOs
Myanmar Health Assistant Association,NGOs
Action for Development,NGOs
Joint Aid Management International,NGOs
Fangak Community Development Initiative,NGOs
Organization for Voluntary Humanitarian Assistance Programme,NGOs
National Demining Units Organization,NGOs
Sudanese Organization for Relief and Recovery (formerly Sudanese Organization for Rehabilitation and Construction),NGOs
Turath Organization for Human Development,NGOs
Associate in Community Development,NGOs
Khwendo Kor,NGOs
Education Health Social Awareness and Rehabilitation,NGOs
Society for Human and Environmental Development,NGOs
Support Agency for Rural and Human Associationís Development,NGOs
Secretariado Diocesano de Pastoral Social,NGOs
Save Youth Future Society,NGOs
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs
Centre Libanais des Droits Humains,NGOs
ASSABIL,NGOs
Akkar Network for Development,NGOs
Makhzoumi Foundation,NGOs
Agency for Assistance and Development of Afghanistan,NGOs
Organization for Research and Community Development,NGOs
Rural Community Action for Peace and Development,NGOs
Global Family,NGOs
Myanmar Nurse and Midwife Association,NGOs
Palestinian Housing Council,NGOs
TAJDID Iraq†Foundation for Economic Development,NGOs
Al-Khanjar Foundation,NGOs
Aman Jordanian Association,NGOs
Ramakrishna Mission,NGOs
Alinshat Area  Association (Inshaat),NGOs
Circassian Charity Association,NGOs
Al Afia Fund Charity,NGOs
Al-Birr Association for Charity and Social Services,NGOs
Caritas Centrafricaine,NGOs
Main dans la Main pour l'Assistance Humanitaire et le DÈveloppement Durable,NGOs
Life Makers Meeting Place Organization,NGOs
Al-Atta Institution for Social Development and Charity,NGOs
Syria Relief and Development,NGOs
FundaciÛn Halu Bienestar Humano,NGOs
Heevie Kurdistan Development,NGOs
The Engineering Association for Development and Environment,NGOs
United Foundation for Relief and Abiding Development,NGOs
Stichting ZOA,NGOs
Doctors Aid Medical Activities,NGOs
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,NGOs
Darfur Development and Reconstruction Agency (DDRA),NGOs
Nada Elazhar for Disaster Prevention and Sustainable Development,NGOs
Iraqi Al-Mortaqa Foundation for Human Development,NGOs
Sorouh for Sustainable Development Foundation,NGOs
National Foundation for Development and Humanitarian Response,NGOs
Community Agribusiness Development Agency,NGOs
Business Incubation Association in Tripoli,NGOs
Asia Humanitarian Organization,NGOs
Comprehensive Health and Education Forum International,NGOs
Foundation for Rural Development,NGOs
Frontier Organization for Reforms and Transformation,NGOs
Humanitarian Organization for Poverty Elimination,NGOs
Kamore Development Welfare Organization,NGOs
Pakhtunkhwa Rural Support Program,NGOs
LASOONA - Society for Human and Natural Resource Development,NGOs
Philanthrope,NGOs
Poverty Alliance Welfare Trust,NGOs
Sanjh Preet Organization,NGOs
Society for Appraisal and Women Empowerment in Rural Areas,NGOs
Women Concerns Organization,NGOs
RABT Development Organization,NGOs
Coordination of Afghan Relief,NGOs
Afghan Planning Agency,NGOs
Youth Health & Development Organization,NGOs
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs
Zulfa Development and Peace Organization,NGOs
Cooperation for Development Organization,NGOs
Auranitis Life Line for development and training,NGOs
Ratana Metta Organization,NGOs
Safadi Foundation,NGOs
UTOPIA Organization,NGOs
Actions ConcrËte pour la Protection de l'Enfance,NGOs
Association des jeunes pour le dÈveloppement communautaire,NGOs
CorporaciÛn Infancia y Desarrollo (CID),NGOs
Centre de DÈveloppement IntÈgral pour líEnfant Rural,NGOs
Collectif Alpha Ujuvi (CAU),NGOs
Rebuild Hope for Africa,NGOs
Roles for Social Change Association,NGOs
Myittar Resource Foundation,NGOs
African Disability Association,NGOs
Chavin Organization for the Care of Children,NGOs
Tawa Organization for Civil Development,NGOs
Community Aid for Relief and Development,NGOs
Help Restore Youth South Sudan,NGOs
Community Aid for Fisheries and Agriculture Development,NGOs
Children Aid South Sudan,NGOs
Centre for Emergency and Development Support,NGOs
Abo Mousa Alashary Social Charitable Association,NGOs
NGO Development Center,NGOs
Palestinian Center for Human Rights,NGOs
"Association des Volontaires pour la Recuperation des Enfants Orphelins,AbandonnÈs,DÈplacÈs et Mal",NGOs
Save Congo,NGOs
Help The Needy,NGOs
SOS Sahel Ethiopia,NGOs
Shaqodoon Organization,NGOs
Syria Relief Network,NGOs
Kabkabiya Women Charitable Society,NGOs
Relief and Mediation Corps,NGOs
"Emergency Relief, Rehabilitation and Development Agency",NGOs
Saeker Charitable Society,NGOs
National Humanitarian Aid Organization,NGOs
National Initiative for Development Organization,NGOs
Trust Rehabilitation and Development Organization,NGOs
SOS Sahel Sudan,NGOs
Action Health Incorporated,NGOs
Upper Nile Youth Mobilization for Peace and Development Agency,NGOs
Community Health and Development Organization,NGOs
National Relief and Development Corps,NGOs
Community Initiative for Development Organization,NGOs
Humanitarian Aid for Change and Transformation,NGOs
The Rescue Initiative South Sudan,NGOs
Bent Al-Rafedain Organization,NGOs
Bothoor Alkhaer Human Organization,NGOs
Emergency Medical Care for Affected People,NGOs
Canadian Aid Organization for International Society Rehab,NGOs
The Critical Needs Support Foundation,NGOs
Dary Human Organization for Relief and Medical Care,NGOs
Health & Social Care Organization in Iraq,NGOs
Orchard Association for Children Protection and Education,NGOs
Sahara Economic Development Organization,NGOs
Stichting Cordaid,NGOs
Sabe' Sanabal Organization for Relief and Development,NGOs
WRO,NGOs
Terre des Hommes - Italy | World Vision International,NGOs
Rural Women's Development Society,NGOs
Mothers and Children Multisectoral Development Organization (MCMDO),NGOs
The Disabled and their Friends Charity Association (DTF),NGOs
Centre for Community Health and Development International,NGOs
Kanem Borno Human Development Association,NGOs
Restoration of Hope Initiative,NGOs
Women in the New Nigeria and Youth Empowerment Initiative,NGOs
Aid Vision,NGOs
Rescue Team International,NGOs
African Volunteers for Relief and Development,NGOs
Action pour le DÈveloppement du Sahel,NGOs
All Girls Foundation for Development,NGOs
Health Work Committees,NGOs
Psycho Social Counselling Center for Women,NGOs
Sidra Organization for Development and Reconstruction,NGOs
Sadad Humanitarian Organization,NGOs
Mobile Theatre Team,NGOs
Grassroots Relief and Development Agency,NGOs
AFAK Future for Capacity Building,NGOs
JORDAN RIVER FOUNDATION,NGOs
Jordan Women Union-Un Ponte Per,NGOs
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs
Association Nabad for Development,NGOs
Action for Population and Sustainable Development,NGOs
Enfants sans FrontiËres,NGOs
Human for Human Organization,NGOs
Empowering Vulnerable Society Organization,NGOs
Women Pioneers for Peace and Life,NGOs
Taakulo Somaliland Community,NGOs
Health Education Agricultural-pastoralist,NGOs
Bena Charity For Human Development,NGOs
Field Medical Foundation,NGOs
Youth Leadership Development Foundation,NGOs
Responsiveness for Relief and Development,NGOs
Tamdeen Youth Foundation,NGOs
"Candlelight for Health, Education and Environment",NGOs
Street Child Organization,NGOs
Hope and Rural Aid Foundation,NGOs
National Prisoner Foundation,NGOs
For All Foundation,NGOs
Medical Mercy Foundation,NGOs
Association for Community Development,NGOs
Touch Africa Development Organization,NGOs
Medicair - South Sudan,NGOs
Nile Sustainable Development Organization,NGOs
Catholic Medical Missons Board,NGOs
Andre Foods South Sudan,NGOs
Organization for Peoples' Empowerment and Needs,NGOs
Community Organization for Emergency and Rehabilitation,NGOs
Titi Foundation,NGOs
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs
Somali Relief and Development Action,NGOs
Faros Organizaton,NGOs
Filoxenia International,NGOs
Action Africa Help-International,NGOs
Peace Boat Disaster Relief Volunteer Center,NGOs
Healthlink South Sudan,NGOs
Aamin Voluntary Relief Organization,NGOs
Aayo Development Foundation,NGOs
Abraham's Oasis,NGOs
Accio Solidaria IGMAN,NGOs
Accion Contra el Hambre,NGOs
ACDI/VOCA,NGOs
ACE Charitable Foundation,NGOs
Acehís People Forum,NGOs
ACFOA,NGOs
ACH - UK,NGOs
ACT Alliance ,NGOs
ACT Alliance / Presbyterian Disaster Assistance,NGOs
ACT Netherlands,NGOs
ACT/Diakonie,NGOs
Action Aid,NGOs
Action contre la Faim / contra Hambre / Against Hunger,NGOs
Action Contre la Faim-Espagne,NGOs
Action Contre la Faim-France,NGOs
ActionAid,NGOs
Actions pour le Developpement Integre en Mileu Rural,NGOs
ADRA Cambodia,NGOs
ADRA Canada,NGOs
ADRA Denmark,NGOs
ADRA Germany,NGOs
ADRA Nepal,NGOs
ADRA PASMIC,NGOs
ADRA Sweden,NGOs
ADRA UK,NGOs
ADRA Yemen,NGOs
ADRA Zimbabwe,NGOs
ADRA/HELP InterNational,NGOs
ADRA-Haiti,NGOs
Adventist Development and Relief Agency ,NGOs
Adventist Development and Relief Agency - Nepal,NGOs
Adventist Development and Relief Agency (New Zealand),NGOs
Afkar Society for Development and Humanitarian Relief,NGOs
African Child Outreach Trust,NGOs
African Development and Emergency Organisation,NGOs
African Educational Trust,NGOs
Africare ,NGOs
Agency for Co-operation and Research in Development,NGOs
Agenzia Italiana Risposta Emergenze,NGOs
Agricultural Cooperative Development InterNational,NGOs
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs
Agricultural Development Association (PARC),NGOs
Aid for Refugees and Orphans,NGOs
Aide ‡ l'Enfance de Canada,NGOs
Aide MÈdicale  InterNationale ,NGOs
Al ghara Charity Organization-Jordan,NGOs
Al Manar Voluntary Organization,NGOs
ALDHU - Latin American Association for Human Rights ,NGOs
AlertNet,NGOs
All Hands Volunteers (previously Hands On Disaster Response),NGOs
Almassar Charity Organization for Nomads,NGOs
ALNAP - Active Learning Network for Accountability and Performance,NGOs
AMAR Foundation,NGOs
AMDA InterNational,NGOs
AMEL,NGOs
Amitie sans Frontieres,NGOs
Amnesty InterNational Norge,NGOs
ANSO / IRC,NGOs
APOPO,NGOs
Apostolic Christian World Relief,NGOs
Arab Association for Human Rights,NGOs
Arab Medical Union,NGOs
ARC EN CIEL,NGOs
"Arts for Peace	",NGOs
Association for Aid and Relief,NGOs
Association pour le Progres et la Defense des Droits des Femmes,NGOs
Association rwandaise des conseillers en traumatisme ,NGOs
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),NGOs
Associazione par la Solidarieta Internazionale in Asia,NGOs
Australians Care for Refugees,NGOs
AVSF - Agronomes y Veterinaries sans FrontiËres,NGOs
BAHA'I InterNational COMMUNITY,NGOs
BHN Association -Telecom for Basic Human Needs,NGOs
BRASCRI ,NGOs
Bread for the World,NGOs
Bright Future Organization,NGOs
Canadian Catholic Organization for Development and Peace,NGOs
Canadian Coalition,NGOs
Canadian Journalist/Free Expr,NGOs
Canadian Journalists Free Expression ,NGOs
CARE Myanmar,NGOs
CareFusion Corporation,NGOs
CARITAS Allemagne (DCV),NGOs
Caritas DÈveloppement,NGOs
Caritas France,NGOs
Caritas Germany,NGOs
Caritas Hong kong,NGOs
Caritas Hungary,NGOs
Caritas Katanga,NGOs
Caritas Manila,NGOs
Caritas/MCC,NGOs
Catholic Migration Commission,NGOs
Caucasus Environmental NGO Network ,NGOs
Cavish Development Foundation,NGOs
Centre De Crise,NGOs
Centre de RÈflexion Europe Afrique ,NGOs
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs
CHA - Coordination of Humanitarian Assistance,NGOs
Chaine du Bonheur,NGOs
CHF InterNational,NGOs
Children Assistance Programme ,NGOs
Children InterNational,NGOs
Children without Borders,NGOs
Children's Home Society of Minnesota,NGOs
Christian Aid,NGOs
Christian Aid-UK,NGOs
Christian Blind Mission,NGOs
Christian Care,NGOs
Christian Children's Fund ,NGOs
Christian Commission for Development in Bangladesh,NGOs
Christian Reformed World Relief Committee,NGOs
Church World Service,NGOs
Clowns without Borders,NGOs
Collectif HaÔti de France,NGOs
Colombiana Contra Minas,NGOs
Comision EspanÙla de Ayuda al Refugiado,NGOs
Communaute des Eglises de Pentecote en Afrique,NGOs
CommunautÈs locales FYROM,NGOs
Community Bridge Initiative,NGOs
Community Chest Korea,NGOs
CONCERN,NGOs
Concern Universal,NGOs
CONCORD,NGOs
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs
Consortium of British Humanitarian Agencies,NGOs
Convoy of Hope,NGOs
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,NGOs
Dabane Trust,NGOs
DACAAR,NGOs
Danchurchaid,NGOs
Danish Mission Council,NGOs
Danish-ethiopia commen initiative,NGOs
Detachement d'Intervention contre les Catasrophes et de Formation,NGOs
Development Frontiers International,NGOs
"Diakonia, Sweden",NGOs
Diakonie Austria,NGOs
Diakonie Emergency Aid,NGOs
Direct Relief InterNational,NGOs
DirectAid,NGOs
Disaster Resource Network,NGOs
Don Bosco Mondo Prokur,NGOs
Double Harvest,NGOs
Dubai Cares (UAE),NGOs
Earthquake Relief Fund for Orphans,NGOs
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs
EMERGENCY,NGOs
Enfants Refugies du Monde ,NGOs
Entrepreneurs du Monde,NGOs
Environment Africa,NGOs
EPER Lausanne,NGOs
Ethiopian Mine Action Center,NGOs
European Committe for Agriculture and Training,NGOs
European Perspective,NGOs
Fact Mutare,NGOs
Fairmed,NGOs
Federation des ONG laiques ‡ Vocation Economique du Congo ,NGOs
Feed My Starving Children,NGOs
Feed the Children,NGOs
Feed the Hungry,NGOs
Fellowship for African Relief ,NGOs
Fida InterNational (previously Finnish Free Foreign Mission),NGOs
Film Aid,NGOs
Finnchurchaid,NGOs
Finnchurchaid/Mines Advisory Group,NGOs
Flemish Office for Development Co-Operation and Technical Assistance,NGOs
Flood Damage Rehabilitation Committee,NGOs
Folkekirkens Nodhjaelp,NGOs
Fondazione Un Raggio di Luce,NGOs
Food for the Hungry ,NGOs
Forest for Peace,NGOs
Forum for Early Warning ,NGOs
Foundation for HR and Freedoms and Humanitarian Relief,NGOs
French NGOs,NGOs
FrËres des Hommes,NGOs
"Friends of  UNRWA Association, USA",NGOs
Friends of Love,NGOs
Frontiers Ruwad,NGOs
Future of Orphans,NGOs
Galicia Humanitarian Agency Foundation,NGOs
"German medical aid organisation ""action medeor""",NGOs
Girls are a Treasure Network,NGOs
Global H20,NGOs
GOAL/IRC,NGOs
Gobi Regional Economic Growth Initiative,NGOs
"Greek Orthodox Ladies Philoptochos Society, Inc.",NGOs
Halte Aux Mines Antipersonnel ,NGOs
Handicap InterNational,NGOs
Handicap InterNational/France,NGOs
Hands Together,NGOs
Harikar,NGOs
Hashemite Charity Organization of Jordan,NGOs
Heartland Alliance for Human Needs & Human Rights,NGOs
Heart-to-Heart,NGOs
HELP,NGOs
HELP e.V.,NGOs
Help for school,NGOs
HELVETAS,NGOs
Heshima Kenya,NGOs
Hilfe zur Selbsthilfe e.V.,NGOs
Himalayan Human Rights Monitors,NGOs
Hiran Women Action on Advocay for peace & Human Rights,NGOs
HOPE,NGOs
HOPE'87,NGOs
Human Appeal InterNational,NGOs
Human Care InterNational,NGOs
Humanitarian Initiative Just Relief Aid Organizaiton,NGOs
Humanity First USA,NGOs
Hungarian Interchurch Aid,NGOs
IAM - InterNational Assistance Mission ,NGOs
"Ibero-American States Organization for Education, Science & Culture",NGOs
ICCO - Interchurch organisation for development co-operation,NGOs
ICU,NGOs
IFTIIN Education and Development Association,NGOs
Iimaan Relief and Development Organization,NGOs
Information Management and Mine Action Programs,NGOs
"Institute of Human Rights Communication, Nepal ",NGOs
Interchurch Medical Assistance,NGOs
Interchurch Organisation for Development Co-operation,NGOs
Intermon Oxfam,NGOs
InterNational Association for Maternal and Neonatal Health ,NGOs
InterNational Development Enterprises,NGOs
InterNational Emergency and Development Aid Relief,NGOs
InterNational Humanitarian Service ,NGOs
InterNational Islamic Charity Organization,NGOs
InterNational Islamic Relief,NGOs
InterNational Trust Fund for Demining and Victim Assistance ,NGOs
InterNational Voluntary Agencies,NGOs
Internews Network,NGOs
"INTERPAL, UK",NGOs
INTERSOS,NGOs
Intervita,NGOs
Japan Committee for Refugee Relief,NGOs
Japan Emergency NGOs,NGOs
Japan Rescue Association,NGOs
Joint Mine Action Coordination Team,NGOs
Jordanian Hashemite Charity Organisation,NGOs
JPF - Japan Platform,NGOs
KADECO,NGOs
KAFA,NGOs
Kerkinactie - Netherlands,NGOs
Kher Khegara Tanzeem,NGOs
KINDER USA,NGOs
Knowledge for Iraqi Women Society ,NGOs
Korea Buddhist Order Association,NGOs
Korean Farmers' Association,NGOs
Korean Foundation for InterNational Healthcare,NGOs
Latter Day Saints,NGOs
Lebanese Association for Popular Action,NGOs
LSN - Landmine Survivors Network ,NGOs
Lutheran Development Service,NGOs
Lutheran World Federation,NGOs
Lutheran World Relief,NGOs
Lutheran World Relief (LWR/Canada),NGOs
Madrasati,NGOs
Mahvash and Jahangir Siddiqui Foundation,NGOs
Malteser InterNational,NGOs
Medecins d'Afrique,NGOs
Medical Emergency Relief InterNational Charitable Trust,NGOs
Medical Teams InterNational ,NGOs
Medico Intl.,NGOs
Medicos del Mundo,NGOs
Meds & Food for Kids,NGOs
Mekka Association,NGOs
MEMISA - Action mÈdicale missionnaire ,NGOs
Mensen in Nood Caritas,NGOs
Mentor Initiative,NGOs
MERCY - USA FOR AID AND DEVELOPMENT,NGOs
Mercy Corps ,NGOs
Mercy Relief,NGOs
"Mercy Relief, Singapore",NGOs
Metta Foundation,NGOs
Mildmay,NGOs
Miloserdie (Mercy)  ,NGOs
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs
Mubadiroon Organisation,NGOs
Najat Charitable Society,NGOs
National Council of Saemaul Undong Movement,NGOs
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs
National Integrated Development Agency,NGOs
NGO Coordination Committee in Iraq,NGOs
Non Violent Peace Force ,NGOs
Norske Redningshunder,NGOs
Northeast Asia Forest Forum,NGOs
NORWAC - Norwegian Aid Committee,NGOs
Norwegian Church Aid,NGOs
Norwegian Mission Association,NGOs
Not on our Watch,NGOs
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs
OCHA NGO Funds,NGOs
OIKOS - IntercooperaÁ„o e Desenvolvimento ,NGOs
OJAZ Foundation,NGOs
One Shekel Campaign in WB,NGOs
"Onnuri Church, Rep. of Korea",NGOs
Operation Blessing InterNational,NGOs
"Operation Helping Hands, American Samoa",NGOs
Operation Save Innocent Lives,NGOs
Organisation InterNationale de la Francophonie,NGOs
OXFAM Solidarite,NGOs
Palestine Right to Return Coalition,NGOs
Palestinian Hydrological Group,NGOs
"Paradigm of Consciousness Ministries, Inc. ",NGOs
Parthenon Trust,NGOs
Partner Aid InterNational,NGOs
Patient's Help Fund,NGOs
Pattan Development Organization,NGOs
PCPM - Polish Center for InterNational Aid ,NGOs
Peace Winds,NGOs
People in Need ,NGOs
PHRO - Palestinian Human Rights Organisation ,NGOs
Plan Benin,NGOs
Plan Indonesia ,NGOs
Polish Center for International Aid,NGOs
Practical Action ( formerly Intermediate Technology Development Group),NGOs
PRADET,NGOs
Premiere Urgence,NGOs
PremiËre Urgence - Aide MÈdicale InterNationale,NGOs
Private Agencies Collaborating Together ,NGOs
Qandil,NGOs
Qatar Charitable Society,NGOs
Reach Out To Asia,NGOs
Red R,NGOs
Refugee Education Trust,NGOs
Reporters Sans FrontiËres,NGOs
Ronald McDonald House Charities,NGOs
SALAM YA SUGHAR FUND,NGOs
SAM - Schweizer Allianz Mission ,NGOs
Saude em Portugues,NGOs
Sa˙de em PortuguÍs,NGOs
Save the Children ,NGOs
Save the Children - Canada,NGOs
Save the Children - Denmark,NGOs
Save the Children - France,NGOs
Save the Children - Japan,NGOs
Save the Children - Netherlands,NGOs
Save the Children - Norway,NGOs
Save the Children - Sri Lanka,NGOs
Save the Children - Sweden,NGOs
Save the Children - Uganda,NGOs
Save the Children - United Kingdom,NGOs
Save the Children - USA,NGOs
Save the Children Alliance,NGOs
Save the Children Federaton Inc.,NGOs
"Save the Children, Youths and Women Organization",NGOs
Scandinavian Children's Mission ,NGOs
Service Social InterNational  ,NGOs
Shaik Abdallah Nouri Association,NGOs
SHAML - Palestinian Diaspora and Refugee Center ,NGOs
Sharek Youth Forum ,NGOs
Shelter Now InterNational ,NGOs
SODI - Solidarit‰tsdienst-InterNational ,NGOs
Soka Gakkai,NGOs
Soles4Souls,NGOs
SOLIDAR INGO CONSORTIUM ,NGOs
Solidaridad InterNational,NGOs
Solidarite Protestante,NGOs
SolidaritÈ Syndicale - Luxembourg,NGOs
SolidaritÈs,NGOs
Somali Development & Rehabilitation Organisation,NGOs
Somali Youth for Peace and Development,NGOs
SOS InterNational,NGOs
"SOS Villages d""enfants",NGOs
Southern Alliance for Indigenous Resources,NGOs
Special Court,NGOs
Stitching War Child,NGOs
Sudan Peace and Education Development Programme,NGOs
Sudan Social Development Organization ,NGOs
Swedish Alliance Mission ,NGOs
Temele Development Organisation,NGOs
Terre Des Hommes,NGOs
The Korean Medical Association,NGOs
The Movement Center of Jeju Citizen to Help the North Korea,NGOs
The Nat'l Council of Saemaul Undong  Movement in Korea,NGOs
Treatment and Rehabilitation Centre,NGOs
Treatment and Rehabilitation Centre ,NGOs
UK for UNHCR,NGOs
Un Ponte Per ,NGOs
UNICEF National Committee/Andorra,NGOs
UNICEF National Committee/Australia,NGOs
UNICEF National Committee/Austria,NGOs
UNICEF National Committee/Belgium,NGOs
UNICEF National Committee/Czech Republic,NGOs
UNICEF National Committee/Denmark,NGOs
UNICEF National Committee/Estonia,NGOs
UNICEF National Committee/Finland,NGOs
UNICEF National Committee/France,NGOs
UNICEF National Committee/Germany,NGOs
UNICEF National Committee/Hellenic,NGOs
UNICEF National Committee/Hong Kong,NGOs
UNICEF National Committee/Hungary,NGOs
UNICEF National Committee/Iceland,NGOs
UNICEF National Committee/Indonesia,NGOs
UNICEF National Committee/Ireland,NGOs
UNICEF National Committee/Israel,NGOs
UNICEF National Committee/Italy,NGOs
UNICEF National Committee/Japan,NGOs
UNICEF National Committee/Korea (Republic of),NGOs
UNICEF National Committee/Latvia,NGOs
UNICEF National Committee/Lithuania,NGOs
UNICEF National Committee/Luxembourg,NGOs
UNICEF National Committee/Netherlands,NGOs
UNICEF National Committee/New Zealand,NGOs
UNICEF National Committee/Norway,NGOs
UNICEF National Committee/Oman,NGOs
UNICEF National Committee/Poland,NGOs
UNICEF National Committee/Portugal,NGOs
UNICEF National Committee/San Marino,NGOs
UNICEF National Committee/Slovakia,NGOs
UNICEF National Committee/Slovenia,NGOs
UNICEF National Committee/Sweden,NGOs
UNICEF National Committee/Switzerland,NGOs
UNICEF National Committee/Turkey,NGOs
UNICEF National Committee/USA (US Fund for UNICEF),NGOs
United Church of Canada,NGOs
United Methodist Committee on Relief,NGOs
United Way of Massachusetts Bay and Merrimack Valley ,NGOs
Unity and Cooperation for the Development of Peoples,NGOs
Urgence Rehabilitation et Developpement,NGOs
US Fund for UNICEF,NGOs
USA for UNHCR,NGOs
USA Friends of WFP,NGOs
USA Friends Private,NGOs
USA Fund for UNICEF,NGOs
VAF - Verein f¸r Afghanistan Fˆrderung ,NGOs
Vamos Adelante,NGOs
Verein Lichtblick ,NGOs
Visions in Action,NGOs
Volunteer Organization for the InterNational Co-operation,NGOs
Wajir South Development Association ,NGOs
War Child ,NGOs
Windle Trust,NGOs
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan ,NGOs
Women's Promotion and Human Development,NGOs
World Care,NGOs
World Church Relief Service,NGOs
World Concern Development Organisation,NGOs
World Society for the Protection of Animals,NGOs
World Vision Support Offices,NGOs
World Vision Taiwan,NGOs
WPD,NGOs
WRC - World Relief Corporation ,NGOs
YAKKUM Emergency Unit,NGOs
YMCA,NGOs
Youth Alliance in Karamoja,NGOs
Zafar Cooperation Organization,NGOs
ZOA Refugee Care,NGOs
Friends of UNFPA,NGOs
Global Giving,NGOs
Rural Development Initiative Pakistan,NGOs
Rural Initiatives in Sustainability and Empowerment,NGOs
The Foundation for the Refugee Education Trust,NGOs
Association HIMAYA,NGOs
Basmeh and Zeitooneh - Lebanese Association,NGOs
Duhok Organization for Volunteer Youth,NGOs
Friends of Children Society,NGOs
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",NGOs
Oxfam/Community Aid Abroad/Intermon/Novib,NGOs
Rehabilitation Education And Community Health,NGOs
Sudanese Organization for Rehabilitation and Construction,NGOs
ASYA SAR - KYM,NGOs
World Jewish Relief,NGOs
Al Najat Charitable Society,NGOs
Tajdid Iraq Association for Developing Economy,NGOs
Fida,NGOs
KPSM-ERP Integration Centre for Migrant Workers ñ Ecumenical Refugee Program,NGOs
La Strada International (LSI),NGOs
TEAR Fund New Zealand | Save the Children,NGOs
UTOPIA Association,NGOs
"FundaciÛn Alianza por Los Derechos, la Igualdad y la Solidaridad Internacional",NGOs
Help-Tchad,NGOs
World Vision Netherlands,NGOs
Al-Atta Institution for Social Development and Charity (AISDAC),NGOs
Alinshat Area Association (Inshaat),NGOs
CoAR,NGOs
Iraqi Health Access Organization,NGOs
ONG Rescate,NGOs
Jabal Marra Charity Organization,NGOs
International Medical Corps | International Medical Corps UK,NGOs
Johanniter International Assistance | Johanniter Unfallhilfe e.V.,NGOs
The Syria Trust for Development,NGOs
Aide MÈdicale  Internationale,NGOs
Muhammadiyah Disaster Management Center,NGOs
Health Link South Sudan | Healthlink South Sudan,NGOs
Mundri Active Youth Association,NGOs
Yele Haiti Foundation,NGOs
Fuel Relief Fund,NGOs
International Planned Parenthood Federation Western Hemisphere Region,NGOs
Forum for Early Warning,NGOs
"Institute of Human Rights Communication, Nepal",NGOs
Federation des ONG laiques ‡ Vocation Economique du Congo,NGOs
Swedish Alliance Mission,NGOs
"Paradigm of Consciousness Ministries, Inc.",NGOs
Knowledge for Iraqi Women Society,NGOs
Malteser International Order of Malta World Relief,NGOs
Handicap International / Humanity & Inclusion,NGOs
Fida International,NGOs
Aide MÈdicale  Internationale (until 2010),NGOs
ActionAid International,NGOs
Africa Educational Trust,NGOs
PremiËre Urgence (until 2010),NGOs
Medicos del Mundo Spain,NGOs
Helvetas Swiss Intercooperation,NGOs
RTI International (formerly Research Triangle Institute),academia/think/research
RET International (Former The Foundation for the Refugee Education Trust till 2014),NGOs
Instituto per la Cooperazione Universitaria Onlus,NGOs
United Purpose (formerly known as Concern Universal),NGOs
Arcenciel,NGOs
AMAR International Charitable Foundation,NGOs
EPER - Swiss Church Aid,NGOs
World Concern Development Organization,NGOs
Arts for Peace,NGOs
RefuSHE (Former Heshima Kenya),NGOs
Treatment and Rehabilitation Center for Victims of Torture,NGOs
CBM International (formerly Christian Blind Mission),NGOs
PremiËre Urgence - Aide MÈdicale Internationale (from 2011 to 2015),NGOs
Amnesty International Norway,NGOs
Custodian of Two Holy Mosques Relief Campaign,NGOs
Kokkyo naki Kodomotachi (Children without Borders),NGOs
Stichting War Child,NGOs
MAGNA Medical and Nutrition Global Aid,NGOs
Afkar Society for Development and Human Relief,NGOs
Human Appeal International (UAE),NGOs
Help-Tchad Association pour le dÈveloppement,NGOs
"Rehabilitation, Education And Community Health",NGOs
Basmeh and Zeitooneh for Relief and Development - G¸l¸mseme ve zeytin,NGOs
KSPM-ERP Integration Centre for Migrant Workers ñ Ecumenical Refugee Program,NGOs
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGOs
SolidaritÈs International (SI),NGOs
Sonbola Group for Education and Development,NGOs
ROIA Information and Communication Technology,NGOs
Alawn Foundation for Development,NGOs
Christian Agenda for Development,NGOs
Solid House Foundation,NGOs
"Zaporizhzhia Region Charity Fund ""Child Smile""",NGOs
BINAA Organization for Development,NGOs
ONG Espoir,NGOs
International Blue Crescent Relief and Development Foundation,NGOs
Action ChrÈtienne Tous pour la SolidaritÈ,NGOs
Atfaluna Society for Deaf Children,NGOs
Dhaka Ahsania Mission,NGOs
